id,item_id,dept_id,cat_id,store_id,state_id,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913
HOBBIES_1_017_CA_1_validation,HOBBIES_1_017,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,2,1,6
HOBBIES_1_018_CA_1_validation,HOBBIES_1_018,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_019_CA_1_validation,HOBBIES_1_019,HOBBIES_1,HOBBIES,CA_1,CA,0,5,0,11,4,6,12
HOBBIES_1_020_CA_1_validation,HOBBIES_1_020,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_021_CA_1_validation,HOBBIES_1_021,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0
HOBBIES_1_022_CA_1_validation,HOBBIES_1_022,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,1,0,0,0
HOBBIES_1_023_CA_1_validation,HOBBIES_1_023,HOBBIES_1,HOBBIES,CA_1,CA,3,0,1,1,0,4,1
HOBBIES_1_024_CA_1_validation,HOBBIES_1_024,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,2,0,0
HOBBIES_1_025_CA_1_validation,HOBBIES_1_025,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,2,2,2,1
HOBBIES_1_026_CA_1_validation,HOBBIES_1_026,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0
HOBBIES_1_027_CA_1_validation,HOBBIES_1_027,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,0,2,0
HOBBIES_1_028_CA_1_validation,HOBBIES_1_028,HOBBIES_1,HOBBIES,CA_1,CA,1,0,1,1,1,1,1
HOBBIES_1_029_CA_1_validation,HOBBIES_1_029,HOBBIES_1,HOBBIES,CA_1,CA,1,2,1,4,0,0,3
HOBBIES_1_030_CA_1_validation,HOBBIES_1_030,HOBBIES_1,HOBBIES,CA_1,CA,0,8,7,7,19,3,11
HOBBIES_1_031_CA_1_validation,HOBBIES_1_031,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_032_CA_1_validation,HOBBIES_1_032,HOBBIES_1,HOBBIES,CA_1,CA,3,6,0,0,2,4,4
HOBBIES_1_033_CA_1_validation,HOBBIES_1_033,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_034_CA_1_validation,HOBBIES_1_034,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,0,0,0
HOBBIES_1_035_CA_1_validation,HOBBIES_1_035,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_036_CA_1_validation,HOBBIES_1_036,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,0,0,2
HOBBIES_1_037_CA_1_validation,HOBBIES_1_037,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,1,3,1,0
HOBBIES_1_038_CA_1_validation,HOBBIES_1_038,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,1,4,2
HOBBIES_1_039_CA_1_validation,HOBBIES_1_039,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,0,0,0
HOBBIES_1_040_CA_1_validation,HOBBIES_1_040,HOBBIES_1,HOBBIES,CA_1,CA,3,0,1,0,0,0,0
HOBBIES_1_041_CA_1_validation,HOBBIES_1_041,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,2,0,0
HOBBIES_1_042_CA_1_validation,HOBBIES_1_042,HOBBIES_1,HOBBIES,CA_1,CA,4,0,1,0,0,0,0
HOBBIES_1_043_CA_1_validation,HOBBIES_1_043,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_044_CA_1_validation,HOBBIES_1_044,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,1,0,6
HOBBIES_1_045_CA_1_validation,HOBBIES_1_045,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,1,0,0
HOBBIES_1_046_CA_1_validation,HOBBIES_1_046,HOBBIES_1,HOBBIES,CA_1,CA,0,2,0,0,1,1,1
HOBBIES_1_047_CA_1_validation,HOBBIES_1_047,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_048_CA_1_validation,HOBBIES_1_048,HOBBIES_1,HOBBIES,CA_1,CA,25,4,19,10,20,10,21
HOBBIES_1_049_CA_1_validation,HOBBIES_1_049,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,0,1,0,0
HOBBIES_1_050_CA_1_validation,HOBBIES_1_050,HOBBIES_1,HOBBIES,CA_1,CA,2,0,1,1,0,0,1
HOBBIES_1_051_CA_1_validation,HOBBIES_1_051,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,1,0,0,0
HOBBIES_1_052_CA_1_validation,HOBBIES_1_052,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,1,0,0,0
HOBBIES_1_053_CA_1_validation,HOBBIES_1_053,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_054_CA_1_validation,HOBBIES_1_054,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,1
HOBBIES_1_055_CA_1_validation,HOBBIES_1_055,HOBBIES_1,HOBBIES,CA_1,CA,4,6,1,1,1,8,3
HOBBIES_1_056_CA_1_validation,HOBBIES_1_056,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,1,1,0,1
HOBBIES_1_057_CA_1_validation,HOBBIES_1_057,HOBBIES_1,HOBBIES,CA_1,CA,1,1,1,0,1,2,2
HOBBIES_1_058_CA_1_validation,HOBBIES_1_058,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,3,1
HOBBIES_1_060_CA_1_validation,HOBBIES_1_060,HOBBIES_1,HOBBIES,CA_1,CA,0,0,2,0,0,1,0
HOBBIES_1_061_CA_1_validation,HOBBIES_1_061,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_062_CA_1_validation,HOBBIES_1_062,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_063_CA_1_validation,HOBBIES_1_063,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_064_CA_1_validation,HOBBIES_1_064,HOBBIES_1,HOBBIES,CA_1,CA,2,0,5,0,0,0,0
HOBBIES_1_065_CA_1_validation,HOBBIES_1_065,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_066_CA_1_validation,HOBBIES_1_066,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,6,0
HOBBIES_1_067_CA_1_validation,HOBBIES_1_067,HOBBIES_1,HOBBIES,CA_1,CA,18,0,0,0,4,4,2
HOBBIES_1_068_CA_1_validation,HOBBIES_1_068,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,2,0,0
HOBBIES_1_069_CA_1_validation,HOBBIES_1_069,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0
HOBBIES_1_070_CA_1_validation,HOBBIES_1_070,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_072_CA_1_validation,HOBBIES_1_072,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,0,0,3
HOBBIES_1_073_CA_1_validation,HOBBIES_1_073,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,0,0,1,2
HOBBIES_1_074_CA_1_validation,HOBBIES_1_074,HOBBIES_1,HOBBIES,CA_1,CA,0,1,3,1,1,0,3
HOBBIES_1_075_CA_1_validation,HOBBIES_1_075,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,0,0
HOBBIES_1_076_CA_1_validation,HOBBIES_1_076,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,1,0
HOBBIES_1_077_CA_1_validation,HOBBIES_1_077,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,1,0
HOBBIES_1_078_CA_1_validation,HOBBIES_1_078,HOBBIES_1,HOBBIES,CA_1,CA,3,2,4,0,1,1,2
HOBBIES_1_079_CA_1_validation,HOBBIES_1_079,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,0,0,1,1
HOBBIES_1_080_CA_1_validation,HOBBIES_1_080,HOBBIES_1,HOBBIES,CA_1,CA,0,0,12,2,0,0,7
HOBBIES_1_081_CA_1_validation,HOBBIES_1_081,HOBBIES_1,HOBBIES,CA_1,CA,1,1,0,2,1,2,0
HOBBIES_1_082_CA_1_validation,HOBBIES_1_082,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0
HOBBIES_1_083_CA_1_validation,HOBBIES_1_083,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,0,0,3
HOBBIES_1_084_CA_1_validation,HOBBIES_1_084,HOBBIES_1,HOBBIES,CA_1,CA,2,3,1,1,1,2,0
HOBBIES_1_085_CA_1_validation,HOBBIES_1_085,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,1,1,2,2
HOBBIES_1_086_CA_1_validation,HOBBIES_1_086,HOBBIES_1,HOBBIES,CA_1,CA,1,1,1,1,0,0,2
HOBBIES_1_087_CA_1_validation,HOBBIES_1_087,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,2,1,1
HOBBIES_1_088_CA_1_validation,HOBBIES_1_088,HOBBIES_1,HOBBIES,CA_1,CA,4,0,0,0,0,2,0
HOBBIES_1_089_CA_1_validation,HOBBIES_1_089,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,0,2,2,1
HOBBIES_1_090_CA_1_validation,HOBBIES_1_090,HOBBIES_1,HOBBIES,CA_1,CA,2,0,0,0,0,17,1
HOBBIES_1_091_CA_1_validation,HOBBIES_1_091,HOBBIES_1,HOBBIES,CA_1,CA,1,3,2,0,0,1,0
HOBBIES_1_092_CA_1_validation,HOBBIES_1_092,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_093_CA_1_validation,HOBBIES_1_093,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,1
HOBBIES_1_094_CA_1_validation,HOBBIES_1_094,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0
HOBBIES_1_095_CA_1_validation,HOBBIES_1_095,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_097_CA_1_validation,HOBBIES_1_097,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,0,0
HOBBIES_1_098_CA_1_validation,HOBBIES_1_098,HOBBIES_1,HOBBIES,CA_1,CA,1,0,1,0,0,0,1
HOBBIES_1_099_CA_1_validation,HOBBIES_1_099,HOBBIES_1,HOBBIES,CA_1,CA,1,2,0,0,0,0,2
HOBBIES_1_100_CA_1_validation,HOBBIES_1_100,HOBBIES_1,HOBBIES,CA_1,CA,3,0,0,1,1,1,1
HOBBIES_1_102_CA_1_validation,HOBBIES_1_102,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,1,0,1,0
HOBBIES_1_103_CA_1_validation,HOBBIES_1_103,HOBBIES_1,HOBBIES,CA_1,CA,0,10,2,4,0,2,5
HOBBIES_1_104_CA_1_validation,HOBBIES_1_104,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,2
HOBBIES_1_105_CA_1_validation,HOBBIES_1_105,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_106_CA_1_validation,HOBBIES_1_106,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,1,0,2,0
HOBBIES_1_107_CA_1_validation,HOBBIES_1_107,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_108_CA_1_validation,HOBBIES_1_108,HOBBIES_1,HOBBIES,CA_1,CA,3,0,0,0,3,1,2
HOBBIES_1_109_CA_1_validation,HOBBIES_1_109,HOBBIES_1,HOBBIES,CA_1,CA,2,0,0,1,0,0,1
HOBBIES_1_110_CA_1_validation,HOBBIES_1_110,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,0,0
HOBBIES_1_111_CA_1_validation,HOBBIES_1_111,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,0,0,1
HOBBIES_1_112_CA_1_validation,HOBBIES_1_112,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_113_CA_1_validation,HOBBIES_1_113,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,0,0,0,0
HOBBIES_1_114_CA_1_validation,HOBBIES_1_114,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0
HOBBIES_1_115_CA_1_validation,HOBBIES_1_115,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,1,0,0,0
HOBBIES_1_116_CA_1_validation,HOBBIES_1_116,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,1,0,2,2
HOBBIES_1_117_CA_1_validation,HOBBIES_1_117,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,0,0,0
HOBBIES_1_118_CA_1_validation,HOBBIES_1_118,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,2,0,0,2
HOBBIES_1_119_CA_1_validation,HOBBIES_1_119,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,4,1
HOBBIES_1_120_CA_1_validation,HOBBIES_1_120,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,1,1,0
HOBBIES_1_121_CA_1_validation,HOBBIES_1_121,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,0,2,4,2
HOBBIES_1_122_CA_1_validation,HOBBIES_1_122,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_123_CA_1_validation,HOBBIES_1_123,HOBBIES_1,HOBBIES,CA_1,CA,2,0,0,4,2,0,1
HOBBIES_1_124_CA_1_validation,HOBBIES_1_124,HOBBIES_1,HOBBIES,CA_1,CA,1,2,6,0,0,5,0
HOBBIES_1_125_CA_1_validation,HOBBIES_1_125,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,0,0,1
HOBBIES_1_126_CA_1_validation,HOBBIES_1_126,HOBBIES_1,HOBBIES,CA_1,CA,2,1,1,2,0,1,0
HOBBIES_1_127_CA_1_validation,HOBBIES_1_127,HOBBIES_1,HOBBIES,CA_1,CA,0,2,0,0,2,6,0
HOBBIES_1_128_CA_1_validation,HOBBIES_1_128,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,1,1,1
HOBBIES_1_129_CA_1_validation,HOBBIES_1_129,HOBBIES_1,HOBBIES,CA_1,CA,1,1,0,1,0,0,2
HOBBIES_1_130_CA_1_validation,HOBBIES_1_130,HOBBIES_1,HOBBIES,CA_1,CA,3,1,4,0,2,0,1
HOBBIES_1_131_CA_1_validation,HOBBIES_1_131,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,0,0,1,0
HOBBIES_1_132_CA_1_validation,HOBBIES_1_132,HOBBIES_1,HOBBIES,CA_1,CA,2,1,1,1,0,6,5
HOBBIES_1_133_CA_1_validation,HOBBIES_1_133,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,2
HOBBIES_1_134_CA_1_validation,HOBBIES_1_134,HOBBIES_1,HOBBIES,CA_1,CA,16,0,1,2,2,2,3
HOBBIES_1_135_CA_1_validation,HOBBIES_1_135,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,0,0,0,0
HOBBIES_1_136_CA_1_validation,HOBBIES_1_136,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,0,0,0
HOBBIES_1_137_CA_1_validation,HOBBIES_1_137,HOBBIES_1,HOBBIES,CA_1,CA,1,2,2,0,1,1,1
HOBBIES_1_138_CA_1_validation,HOBBIES_1_138,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,0,0
HOBBIES_1_139_CA_1_validation,HOBBIES_1_139,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,4,2,2
HOBBIES_1_140_CA_1_validation,HOBBIES_1_140,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,0,4
HOBBIES_1_141_CA_1_validation,HOBBIES_1_141,HOBBIES_1,HOBBIES,CA_1,CA,1,3,1,0,1,2,1
HOBBIES_1_142_CA_1_validation,HOBBIES_1_142,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,3
HOBBIES_1_143_CA_1_validation,HOBBIES_1_143,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,2
HOBBIES_1_144_CA_1_validation,HOBBIES_1_144,HOBBIES_1,HOBBIES,CA_1,CA,1,1,1,3,1,0,1
HOBBIES_1_145_CA_1_validation,HOBBIES_1_145,HOBBIES_1,HOBBIES,CA_1,CA,0,1,3,0,12,0,2
HOBBIES_1_146_CA_1_validation,HOBBIES_1_146,HOBBIES_1,HOBBIES,CA_1,CA,2,0,0,0,0,2,0
HOBBIES_1_147_CA_1_validation,HOBBIES_1_147,HOBBIES_1,HOBBIES,CA_1,CA,13,7,3,11,7,6,9
HOBBIES_1_148_CA_1_validation,HOBBIES_1_148,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,1,2,1,2
HOBBIES_1_149_CA_1_validation,HOBBIES_1_149,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_150_CA_1_validation,HOBBIES_1_150,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,2,0,3,3
HOBBIES_1_151_CA_1_validation,HOBBIES_1_151,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,0,3,2,2
HOBBIES_1_152_CA_1_validation,HOBBIES_1_152,HOBBIES_1,HOBBIES,CA_1,CA,2,1,0,0,0,0,0
HOBBIES_1_153_CA_1_validation,HOBBIES_1_153,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,2,1,1,2
HOBBIES_1_154_CA_1_validation,HOBBIES_1_154,HOBBIES_1,HOBBIES,CA_1,CA,4,3,1,3,2,1,2
HOBBIES_1_155_CA_1_validation,HOBBIES_1_155,HOBBIES_1,HOBBIES,CA_1,CA,3,4,1,2,3,3,5
HOBBIES_1_156_CA_1_validation,HOBBIES_1_156,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,1,0,0,1
HOBBIES_1_157_CA_1_validation,HOBBIES_1_157,HOBBIES_1,HOBBIES,CA_1,CA,2,1,0,3,1,3,1
HOBBIES_1_158_CA_1_validation,HOBBIES_1_158,HOBBIES_1,HOBBIES,CA_1,CA,5,3,5,3,3,1,8
HOBBIES_1_159_CA_1_validation,HOBBIES_1_159,HOBBIES_1,HOBBIES,CA_1,CA,0,3,3,0,0,1,3
HOBBIES_1_160_CA_1_validation,HOBBIES_1_160,HOBBIES_1,HOBBIES,CA_1,CA,1,1,1,0,0,1,2
HOBBIES_1_161_CA_1_validation,HOBBIES_1_161,HOBBIES_1,HOBBIES,CA_1,CA,0,0,2,0,0,1,0
HOBBIES_1_162_CA_1_validation,HOBBIES_1_162,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_163_CA_1_validation,HOBBIES_1_163,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_164_CA_1_validation,HOBBIES_1_164,HOBBIES_1,HOBBIES,CA_1,CA,3,1,2,0,4,0,0
HOBBIES_1_165_CA_1_validation,HOBBIES_1_165,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,0,2,2
HOBBIES_1_166_CA_1_validation,HOBBIES_1_166,HOBBIES_1,HOBBIES,CA_1,CA,2,3,2,0,1,5,4
HOBBIES_1_167_CA_1_validation,HOBBIES_1_167,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,4,0
HOBBIES_1_168_CA_1_validation,HOBBIES_1_168,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,1,1,0
HOBBIES_1_169_CA_1_validation,HOBBIES_1_169,HOBBIES_1,HOBBIES,CA_1,CA,27,0,1,24,2,5,12
HOBBIES_1_170_CA_1_validation,HOBBIES_1_170,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,0,0,1
HOBBIES_1_171_CA_1_validation,HOBBIES_1_171,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,1,0,2
HOBBIES_1_172_CA_1_validation,HOBBIES_1_172,HOBBIES_1,HOBBIES,CA_1,CA,2,1,0,2,1,1,3
HOBBIES_1_173_CA_1_validation,HOBBIES_1_173,HOBBIES_1,HOBBIES,CA_1,CA,2,1,0,0,0,0,3
HOBBIES_1_174_CA_1_validation,HOBBIES_1_174,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_175_CA_1_validation,HOBBIES_1_175,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_176_CA_1_validation,HOBBIES_1_176,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,2,2,1
HOBBIES_1_177_CA_1_validation,HOBBIES_1_177,HOBBIES_1,HOBBIES,CA_1,CA,1,2,0,0,2,2,1
HOBBIES_1_178_CA_1_validation,HOBBIES_1_178,HOBBIES_1,HOBBIES,CA_1,CA,2,0,6,6,2,2,5
HOBBIES_1_179_CA_1_validation,HOBBIES_1_179,HOBBIES_1,HOBBIES,CA_1,CA,1,1,1,1,0,2,1
HOBBIES_1_180_CA_1_validation,HOBBIES_1_180,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,3,0
HOBBIES_1_181_CA_1_validation,HOBBIES_1_181,HOBBIES_1,HOBBIES,CA_1,CA,0,1,0,0,0,0,0
HOBBIES_1_183_CA_1_validation,HOBBIES_1_183,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,1
HOBBIES_1_184_CA_1_validation,HOBBIES_1_184,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_185_CA_1_validation,HOBBIES_1_185,HOBBIES_1,HOBBIES,CA_1,CA,2,0,0,1,0,2,1
HOBBIES_1_186_CA_1_validation,HOBBIES_1_186,HOBBIES_1,HOBBIES,CA_1,CA,1,1,0,0,2,1,2
HOBBIES_1_187_CA_1_validation,HOBBIES_1_187,HOBBIES_1,HOBBIES,CA_1,CA,0,2,0,2,0,0,0
HOBBIES_1_188_CA_1_validation,HOBBIES_1_188,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,1
HOBBIES_1_189_CA_1_validation,HOBBIES_1_189,HOBBIES_1,HOBBIES,CA_1,CA,4,11,4,10,19,22,35
HOBBIES_1_190_CA_1_validation,HOBBIES_1_190,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,0,0
HOBBIES_1_191_CA_1_validation,HOBBIES_1_191,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_192_CA_1_validation,HOBBIES_1_192,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_193_CA_1_validation,HOBBIES_1_193,HOBBIES_1,HOBBIES,CA_1,CA,2,0,2,1,0,2,3
HOBBIES_1_194_CA_1_validation,HOBBIES_1_194,HOBBIES_1,HOBBIES,CA_1,CA,2,1,0,2,0,1,2
HOBBIES_1_195_CA_1_validation,HOBBIES_1_195,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,1,2,0
HOBBIES_1_197_CA_1_validation,HOBBIES_1_197,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_198_CA_1_validation,HOBBIES_1_198,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,1,0
HOBBIES_1_199_CA_1_validation,HOBBIES_1_199,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
HOBBIES_1_200_CA_1_validation,HOBBIES_1_200,HOBBIES_1,HOBBIES,CA_1,CA,0,2,0,0,0,0,0
HOBBIES_1_201_CA_1_validation,HOBBIES_1_201,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,1,1,0,0
HOBBIES_1_202_CA_1_validation,HOBBIES_1_202,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,4,0,4,0
HOBBIES_1_203_CA_1_validation,HOBBIES_1_203,HOBBIES_1,HOBBIES,CA_1,CA,1,0,1,1,1,0,1
HOBBIES_1_204_CA_1_validation,HOBBIES_1_204,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0
HOBBIES_1_205_CA_1_validation,HOBBIES_1_205,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0
HOBBIES_1_206_CA_1_validation,HOBBIES_1_206,HOBBIES_1,HOBBIES,CA_1,CA,0,2,2,3,5,1,0
HOBBIES_1_207_CA_1_validation,HOBBIES_1_207,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,0,0
HOBBIES_1_208_CA_1_validation,HOBBIES_1_208,HOBBIES_1,HOBBIES,CA_1,CA,1,6,2,1,3,3,3
HOBBIES_1_209_CA_1_validation,HOBBIES_1_209,HOBBIES_1,HOBBIES,CA_1,CA,0,6,6,3,6,2,3
HOBBIES_1_210_CA_1_validation,HOBBIES_1_210,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0
